tur,dosya,satir,metin
NOT_IMPLEMENTED,uxm\core\runtime\services\runtime_matrix_services.bas,629,' Sparse CSR MV bu dosyada uygulanmadi; sparse gercek servisleri @600+ bandindadir.
PLACEHOLDER,uxm\core\runtime\services\runtime_real_ext_services_v18.bas,6,' These services are intentionally not placeholders. They compute deterministic numeric results.
PLACEHOLDER,uxm\core\runtime\services\runtime_statistics_services.bas,206,' --- V18 real statistical extensions: not placeholders ---
PLACEHOLDER,araclar\placeholder_kesin_tara.py,3,"""""""UXM kesin placeholder denetimi."
PLACEHOLDER,araclar\placeholder_kesin_tara.py,4,"Kaynak kodda yalandan işlev, TODO, dummy, placeholder veya yanlışlıkla geçerli görünen reserved izlerini bulur."
TODO,araclar\placeholder_kesin_tara.py,4,"Kaynak kodda yalandan işlev, TODO, dummy, placeholder veya yanlışlıkla geçerli görünen reserved izlerini bulur."
DUMMY,araclar\placeholder_kesin_tara.py,4,"Kaynak kodda yalandan işlev, TODO, dummy, placeholder veya yanlışlıkla geçerli görünen reserved izlerini bulur."
FAKE,araclar\placeholder_kesin_tara.py,4,"Kaynak kodda yalandan işlev, TODO, dummy, placeholder veya yanlışlıkla geçerli görünen reserved izlerini bulur."
PLACEHOLDER,araclar\placeholder_kesin_tara.py,12,"(""PLACEHOLDER"", re.compile(r""placeholder"", re.I)),"
TODO,araclar\placeholder_kesin_tara.py,13,"(""TODO"", re.compile(r""\bTODO\b"", re.I)),"
DUMMY,araclar\placeholder_kesin_tara.py,14,"(""DUMMY"", re.compile(r""\bdummy\b"", re.I)),"
STUB,araclar\placeholder_kesin_tara.py,15,"(""STUB"", re.compile(r""\bstub\b"", re.I)),"
FAKE,araclar\placeholder_kesin_tara.py,16,"(""FAKE"", re.compile(r""\bfake\b|sahte|yalandan"", re.I)),"
NOT_IMPLEMENTED,araclar\placeholder_kesin_tara.py,17,"(""NOT_IMPLEMENTED"", re.compile(r""not implemented|notimplemented|uygulanmad"", re.I)),"
PLACEHOLDER,araclar\placeholder_kesin_tara.py,30,ap=argparse.ArgumentParser(description='UXM kesin placeholder/dummy/TODO denetimi')
TODO,araclar\placeholder_kesin_tara.py,30,ap=argparse.ArgumentParser(description='UXM kesin placeholder/dummy/TODO denetimi')
DUMMY,araclar\placeholder_kesin_tara.py,30,ap=argparse.ArgumentParser(description='UXM kesin placeholder/dummy/TODO denetimi')
PLACEHOLDER,araclar\placeholder_kesin_tara.py,32,"ap.add_argument('--cikti','--out',dest='out',default='placeholder_kesin_rapor.csv',help='CSV çıktı')"
PLACEHOLDER,araclar\placeholder_kesin_tara.py,53,print(f'[PLACEHOLDER_DENETIM] bulgu={len(rows)} rapor={out}')
PLACEHOLDER,araclar\placeholder_tara.py,3,"""""""UXM placeholder/TODO/dummy denetleyici."
TODO,araclar\placeholder_tara.py,3,"""""""UXM placeholder/TODO/dummy denetleyici."
DUMMY,araclar\placeholder_tara.py,3,"""""""UXM placeholder/TODO/dummy denetleyici."
PLACEHOLDER,araclar\placeholder_tara.py,5,placeholder/TODO/dummy/stub/reserved/planned izlerini CSV ve Markdown olarak raporlar.
TODO,araclar\placeholder_tara.py,5,placeholder/TODO/dummy/stub/reserved/planned izlerini CSV ve Markdown olarak raporlar.
DUMMY,araclar\placeholder_tara.py,5,placeholder/TODO/dummy/stub/reserved/planned izlerini CSV ve Markdown olarak raporlar.
STUB,araclar\placeholder_tara.py,5,placeholder/TODO/dummy/stub/reserved/planned izlerini CSV ve Markdown olarak raporlar.
PLACEHOLDER,araclar\placeholder_tara.py,9,"PATTERNS=[r'placeholder',r'TODO',r'dummy',r'stub',r'not implemented',r'planned',r'reserved',r'taslak',r'planlandı',r'geçici']"
