id,source,target,status
17,,,not_found
18,,,not_found
19,,,not_found
20,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\runtime_meta_dispatch.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\runtime_meta_dispatch.bas,exists
181,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,exists
182,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,exists
190,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,exists
191,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,exists
193,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,exists
194,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,exists
195,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_matrix_services.bas,exists
274,C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17\uxm__core__runtime__services__runtime_statistics_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_statistics_services.bas,exists
275,C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17\uxm__core__runtime__services__runtime_statistics_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_statistics_services.bas,exists
276,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
277,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
278,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
279,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
280,C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17\uxm__core__runtime__services__runtime_statistics_services.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_statistics_services.bas,exists
283,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
284,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
285,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
286,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
287,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
288,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
289,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_stats_numeric_v19.bas,exists
499,,,not_found
760,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,exists
761,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,inserted
762,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,inserted
763,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,inserted
764,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,inserted
765,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,inserted
766,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,inserted
767,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_real_ext_services_v18.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\services\runtime_real_ext_services_v18.bas,exists
768,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\uxm\core\runtime\hooks\runtime_hook_dispatch_ext.bas,inserted
