id,file,line,snippet
269,uxm/core/runtime/services/runtime_statistics_services.bas,374,Case 269 ' STAT_MODE
270,onceki_src/runtime/services/runtime_statistics_services.bas,439,"Case 270 ' STAT_QUARTILE: T-3=start, T-1=count, T=quartile(1..3) -> T+1 scaled"
270,uxm/core/runtime/services/runtime_statistics_services.bas,398,Case 270 ' STAT_QUARTILE: option=1/2/3 -> quartile scaled
271,onceki_src/runtime/services/runtime_statistics_services.bas,443,"Case 271 ' STAT_PERCENTILE: T-3=start, T-1=count, T=percentile(0..100) -> T+1 scaled"
271,uxm/core/runtime/services/runtime_statistics_services.bas,408,Case 271 ' STAT_PERCENTILE: option = percentile scaled 0..1000000
272,onceki_src/runtime/services/runtime_statistics_services.bas,447,Case 272 ' STAT_SKEWNESS: population skewness scaled
272,uxm/core/runtime/services/runtime_statistics_services.bas,412,Case 272 ' STAT_SKEWNESS
273,onceki_src/runtime/services/runtime_statistics_services.bas,451,Case 273 ' STAT_KURTOSIS: excess kurtosis scaled
273,uxm/core/runtime/services/runtime_statistics_services.bas,416,Case 273 ' STAT_KURTOSIS
281,onceki_src/runtime/services/runtime_statistics_services.bas,472,Case 281 ' CORR_SPEARMAN: rank correlation scaled
281,uxm/core/runtime/services/runtime_statistics_services.bas,420,Case 281 ' CORR_SPEARMAN
282,onceki_src/runtime/services/runtime_statistics_services.bas,476,Case 282 ' CORR_KENDALL: Kendall tau-b scaled
282,uxm/core/runtime/services/runtime_statistics_services.bas,424,Case 282 ' CORR_KENDALL
291,uxm/core/runtime/services/runtime_statistics_services.bas,428,"Case 291 ' REG_MULTIPLE: T-4=x,T-3=z,T-2=y,T-1=count,T0=out"
292,uxm/core/runtime/services/runtime_statistics_services.bas,431,"Case 292 ' REG_POLYNOMIAL: quadratic simplified to linear fallback output b0,b1,b2=0"
293,uxm/core/runtime/services/runtime_statistics_services.bas,435,Case 293 ' REG_LOGISTIC: one predictor probability at option x; writes scaled sigmoid(linear prediction)
