id,name,handler,enabled,status,source,notes,frame
0,NOP_STATUS_OK,MetaCore,True,current,runtime_meta_dispatch.bas,Set status OK,
1,CLS,MetaCore,True,current,runtime_meta_dispatch.bas,Clear screen,
2,LOCATE_HOME,MetaCore,True,current,runtime_meta_dispatch.bas,"Locate 1,1",
3,RANDOM_BYTE,MetaCore,True,current,runtime_meta_dispatch.bas,T+1=random byte,
4,TIMER_MS,MetaCore,True,current,runtime_meta_dispatch.bas,T+1=timer ms masked,
5,NEWLINE,MetaCore,True,current,runtime_meta_dispatch.bas,Print newline,
6,PRINT_META_PREFIX,MetaCore,True,current,runtime_meta_dispatch.bas,Print [UXM META],
7,CONST_7,MetaCore,True,current,runtime_meta_dispatch.bas,T+1=7,
8,CONST_8,MetaCore,True,current,runtime_meta_dispatch.bas,T+1=8,
9,GET_STATUS,MetaCore,True,current,runtime_meta_dispatch.bas,T+1=ux_status,
10,STATUS_OK,MetaCore,True,current,runtime_meta_dispatch.bas,Set status OK,
11,SET_STATUS_ARG1,MetaCore,True,current,runtime_meta_dispatch.bas,status=Arg1 low byte,
12,PRINT_STATUS,MetaCore,True,current,runtime_meta_dispatch.bas,Print status message,
13,STATUS_ASSERT_NONZERO,MetaCore,True,current,runtime_meta_dispatch.bas,If status OK set 1 else keep,
14,CLEAR_STATUS,MetaCore,True,current,runtime_meta_dispatch.bas,Set status OK,
15,GET_ERROR_FLAG,MetaCore,True,current,runtime_meta_dispatch.bas,T+1=1 if FLAG_ERR else 0,
20,ADD,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
21,SUB,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
22,MUL,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
23,DIV,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
24,MOD,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
